,,,a,,,,
Region code,Region label,Commodity code,Commodity description, Estimate , Estimate - Relative Standard Error (Percent) , Number of agricultural businesses , Number of agricultural businesses - Relative Standard Error (Percent) 
1,New South Wales,AGWATSRCAMLOTH_F,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),413,^,6,^
1,New South Wales,AGWATRPRODAHA_F,Water use - Total area watered (ha),"657,693",,"4,826",
1,New South Wales,AGWATRPRODAML_F,Water use - Total volume applied (ML),"2,707,355",,"4,826",
1,New South Wales,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),4.1,,..,
1,New South Wales,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"40,580,588",,"20,983",
1,New South Wales,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),"117,339",,"1,239",
1,New South Wales,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),"250,900",,"1,239",
1,New South Wales,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.1,,..,
1,New South Wales,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","429,195",,"6,692",
1,New South Wales,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),"49,943",,820,
1,New South Wales,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),"142,503",,820,
1,New South Wales,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),2.9,,..,
1,New South Wales,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),"14,142",,907,
1,New South Wales,AGWATRVEGEAHA_F,Water use - Vegetables - Area watered (ha),"9,718",,614,
1,New South Wales,AGWATRVEGEAML_F,Water use - Vegetables - Volume applied (ML),"43,707",,614,
1,New South Wales,Watapp_Vegies_rate_F,Water use - Vegetables - Application rate (ML/ha),4.5,,..,
1,New South Wales,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","59,682",,"1,784",
1,New South Wales,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","44,978",,900,
1,New South Wales,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","237,539",,900,
1,New South Wales,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",5.3,,..,
1,New South Wales,AGGRAPE_AHA_F,Water use - Grapevines - Total area grown (ha),"33,502",,711,
1,New South Wales,AGWATRGRAPAHA_F,Water use - Grapevines - Area watered (ha),"30,764",,590,
1,New South Wales,AGWATRGRAPAML_F,Water use - Grapevines - Volume applied (ML),"141,722",,590,
1,New South Wales,Watapp_Grapevines_rate_F,Water use - Grapevines - Application rate (ML/ha),4.6,,..,
1,New South Wales,AGNURFLWTUAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","4,433",,591,
1,New South Wales,AGWATRNURSAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","3,399",,429,
1,New South Wales,AGWATRNURSAML_F,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","16,538",,429,
1,New South Wales,Watapp_Nurseries_rate_F,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.9,,..,
1,New South Wales,AGCEREAL_AHARIC_F,Water use - Rice - Total area grown (ha),"43,907",,383,
1,New South Wales,AGWATROCRPAHARIC_F,Water use - Rice - Area watered (ha),"43,907",,383,
1,New South Wales,AGWATROCRPAMLRIC_F,Water use - Rice - Volume applied (ML),"531,434",,383,
1,New South Wales,Watapp_Rice_rate_F,Water use - Rice - Application rate (ML/ha),12.1,,..,
1,New South Wales,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","5,994,137",,"9,152",
1,New South Wales,AGWATRCCRPGRSAHA_F,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","208,413",,728,
1,New South Wales,AGWATRCCRPGRSAML_F,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","462,356",,728,
1,New South Wales,Watapp_Other_cer_rate_F,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.2,,..,
1,New South Wales,AGCOTTPLTDAHA_F,Water use - Cotton - Total area grown (ha) (c),"166,866",,469,
1,New South Wales,AGWATROCRPAHACOT_F,Water use - Cotton - Area watered (ha),"123,870",,403,
1,New South Wales,AGWATROCRPAMLCOT_F,Water use - Cotton - Volume applied (ML),"826,301",,403,
1,New South Wales,Watapp_Cotton_rate_F,Water use - Cotton - Application rate (ML/ha),6.7,,..,
1,New South Wales,AGSUGARCANAHA_F,Water use - Sugar cane - Total area grown (ha) (d),"23,741",,275,
1,New South Wales,AGWATROCRPAHASUG_F,Water use - Sugar cane - Area watered (ha),197,,8,
1,New South Wales,AGWATROCRPAMLSUG_F,Water use - Sugar cane - Volume applied (ML),340,,8,
1,New South Wales,Watapp_Sugar_rate_F,Water use - Sugar cane - Application rate (ML/ha),1.7,,..,
1,New South Wales,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"1,451,595",,"5,048",
1,New South Wales,AGWATROTHCRPAHA_F,Water use - Other crops n.e.c. - Area watered (ha),"25,165",,185,
1,New South Wales,AGWATROTHCRPAML_F,Water use - Other crops n.e.c. - Volume applied (ML),"54,014",,185,
1,New South Wales,Watapp_Oth_crops_rate_F,Water use - Other crops n.e.c. - Application rate (ML/ha),2.2,,..,
2,Victoria,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"11,391,332",,"21,592",
2,Victoria,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),"21,592",,"21,592",
2,Victoria,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),"5,379",,"5,379",
2,Victoria,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"1,700,120",,"5,397",
2,Victoria,AGWATSRCAMLICH_F,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),"1,068,825",,"2,895",
2,Victoria,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"38,417",,"1,141",
2,Victoria,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","320,223",,"1,142",
2,Victoria,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","311,297",,"1,050",
2,Victoria,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","8,926",^,107,
2,Victoria,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","217,506",,"1,272",
2,Victoria,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","46,510",,359,
2,Victoria,AGWATSRCAMLMNS_F,Water source - Town or reticulated mains supply - Total volume used (ML),"8,037",^,255,
2,Victoria,AGWATSRCAMLOTH_F,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),602,*,14,^
2,Victoria,AGWATRPRODAHA_F,Water use - Total area watered (ha),"490,112",,"5,379",
2,Victoria,AGWATRPRODAML_F,Water use - Total volume applied (ML),"1,642,701",,"5,379",
2,Victoria,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),3.4,,..,
2,Victoria,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"5,825,610",,"16,525",
2,Victoria,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),"233,657",,"2,384",
2,Victoria,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),"674,466",,"2,384",
2,Victoria,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.9,,..,
2,Victoria,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","821,996",,"9,567",
2,Victoria,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),"85,122",,"1,260",
2,Victoria,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),"233,558",,"1,260",
2,Victoria,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),2.7,,..,
2,Victoria,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),"31,740",,727,
2,Victoria,AGWATRVEGEAHA_F,Water use - Vegetables - Area watered (ha),"21,771",,549,
2,Victoria,AGWATRVEGEAML_F,Water use - Vegetables - Volume applied (ML),"76,204",,549,
2,Victoria,Watapp_Vegies_rate_F,Water use - Vegetables - Application rate (ML/ha),3.5,,..,
2,Victoria,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","60,157",,910,
2,Victoria,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","57,030",,714,
2,Victoria,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","398,181",,714,
2,Victoria,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",7.0,,..,
